Section,ScreenName,StoryID,RoleAr,UserStoryAr,UserStoryEn,FeatureSummaryAr,MainDbEntities,MainButtonsOrActionsAr,AcceptanceCriteriaAr
Dashboards,DashboardScreen,US-DashboardScreen-01,المدير,كـالمدير أريد استخدام شاشة DashboardScreen ضمن قسم Dashboards لتحقيق الغرض التالي: لوحة تحكم شاملة للمدير تعرض صورة حية عن أداء الجمعية (مالية وتشغيلية) عبر كروت مؤشرات رئيسية مثل إجمالي التبرعات اليوم/الشهر، المشاريع المتعثرة، أعلى الموظفين أداءً، والتنبيهات الذكية. تعتمد كليًا على بيانات حقيقية من قاعدة البيانات وتُحدَّث مع تغيير الفترات الزمنية بدون أرقام ثابتة. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المدير), I want to use the DashboardScreen in the Dashboards module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",لوحة تحكم شاملة للمدير تعرض صورة حية عن أداء الجمعية (مالية وتشغيلية) عبر كروت مؤشرات رئيسية مثل إجمالي التبرعات اليوم/الشهر، المشاريع المتعثرة، أعلى الموظفين أداءً، والتنبيهات الذكية. تعتمد كليًا ...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة DashboardScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Dashboards,EmployeeDashboardScreen,US-EmployeeDashboardScreen-01,الموظف,كـالموظف أريد استخدام شاشة EmployeeDashboardScreen ضمن قسم Dashboards لتحقيق الغرض التالي: لوحة تحكم مخصصة لكل موظف تعرض مهامه اليومية والأسبوعية، حالة كل مهمة، نسبة تحقيق الهدف الشهري، مجموع التبرعات المرتبطة بعمله، ونقاط التحفيز. الهدف مساعدة الموظف على تنظيم يومه ومعرفة أثر عمله مباشرة من بيانات حقيقية. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (الموظف), I want to use the EmployeeDashboardScreen in the Dashboards module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",لوحة تحكم مخصصة لكل موظف تعرض مهامه اليومية والأسبوعية، حالة كل مهمة، نسبة تحقيق الهدف الشهري، مجموع التبرعات المرتبطة بعمله، ونقاط التحفيز. الهدف مساعدة الموظف على تنظيم يومه ومعرفة أثر عمله مباشر...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة EmployeeDashboardScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Dashboards,SecurityDashboardScreen,US-SecurityDashboardScreen-01,مسؤول الأمن / المدير,كـمسؤول الأمن / المدير أريد استخدام شاشة SecurityDashboardScreen ضمن قسم Dashboards لتحقيق الغرض التالي: لوحة لمراقبة الأمان في النظام تعرض محاولات الدخول الفاشلة، الحسابات المقفلة، تغييرات الصلاحيات، وسجل الأحداث الأمنية. تمكّن مسؤول الأمن أو المدير من اكتشاف السلوكيات المشبوهة واتخاذ إجراءات فورية. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (مسؤول الأمن / المدير), I want to use the SecurityDashboardScreen in the Dashboards module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",لوحة لمراقبة الأمان في النظام تعرض محاولات الدخول الفاشلة، الحسابات المقفلة، تغييرات الصلاحيات، وسجل الأحداث الأمنية. تمكّن مسؤول الأمن أو المدير من اكتشاف السلوكيات المشبوهة واتخاذ إجراءات فورية.,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة SecurityDashboardScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Operations,TasksScreen,US-TasksScreen-01,المشرف / الموظف,كـالمشرف / الموظف أريد استخدام شاشة TasksScreen ضمن قسم Operations لتحقيق الغرض التالي: شاشة إدارة شاملة للمهام تمكّن المشرف من إنشاء المهام وتعيينها وتعديلها وحذفها، وتمكّن الموظف من عرض المهام المسندة له مع فلاتر حسب المشروع والحالة والموظف والتاريخ. تعتمد على قراءة مباشرة من جدول المهام وتحديثه. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المشرف / الموظف), I want to use the TasksScreen in the Operations module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة إدارة شاملة للمهام تمكّن المشرف من إنشاء المهام وتعيينها وتعديلها وحذفها، وتمكّن الموظف من عرض المهام المسندة له مع فلاتر حسب المشروع والحالة والموظف والتاريخ. تعتمد على قراءة مباشرة من جدول ا...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة TasksScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Operations,TaskDetailScreen,US-TaskDetailScreen-01,الموظف / المشرف,كـالموظف / المشرف أريد استخدام شاشة TaskDetailScreen ضمن قسم Operations لتحقيق الغرض التالي: شاشة تفصيلية لمهمة واحدة تعرض جميع تفاصيل المهمة (الوصف، الحالة، التواريخ، الأولوية، المشروع المرتبط)، بالإضافة إلى التعليقات والمرفقات وسجل التحديثات. تتيح تغيير حالة المهمة ورفع الملفات وإضافة التعليقات مع حفظ كل شيء في قاعدة البيانات. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (الموظف / المشرف), I want to use the TaskDetailScreen in the Operations module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة تفصيلية لمهمة واحدة تعرض جميع تفاصيل المهمة (الوصف، الحالة، التواريخ، الأولوية، المشروع المرتبط)، بالإضافة إلى التعليقات والمرفقات وسجل التحديثات. تتيح تغيير حالة المهمة ورفع الملفات وإضافة ال...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة TaskDetailScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Operations,ProjectsScreen,US-ProjectsScreen-01,المدير / المشرف / المحاسب,كـالمدير / المشرف / المحاسب أريد استخدام شاشة ProjectsScreen ضمن قسم Operations لتحقيق الغرض التالي: شاشة لإدارة المشاريع تُمكّن المدير والمشرف من إنشاء وتعديل المشاريع، تحديد الأهداف المالية والزمنية، ومتابعة نسبة الإنجاز من خلال المهام المنفذة والتبرعات المحققة. تستخدم بيانات حقيقية من جداول المشاريع والمهام والتبرعات لعرض الحالة بدقة. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المدير / المشرف / المحاسب), I want to use the ProjectsScreen in the Operations module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة لإدارة المشاريع تُمكّن المدير والمشرف من إنشاء وتعديل المشاريع، تحديد الأهداف المالية والزمنية، ومتابعة نسبة الإنجاز من خلال المهام المنفذة والتبرعات المحققة. تستخدم بيانات حقيقية من جداول الم...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة ProjectsScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Operations,MandatoryWorkflowScreen,US-MandatoryWorkflowScreen-01,المدير / المشرف,كـالمدير / المشرف أريد استخدام شاشة MandatoryWorkflowScreen ضمن قسم Operations لتحقيق الغرض التالي: شاشة متابعة الخطوات الإلزامية لكل مشروع في شكل Checklist، مثل تجهيز المحتوى، إعداد صفحة الهبوط، ربط التتبع، ومراجعة الموافقات. لا يمكن وضع المشروع في حالة نشطة قبل إكمال هذه الخطوات، ويتم تسجيل حالة كل خطوة في قاعدة البيانات. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المدير / المشرف), I want to use the MandatoryWorkflowScreen in the Operations module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة متابعة الخطوات الإلزامية لكل مشروع في شكل Checklist، مثل تجهيز المحتوى، إعداد صفحة الهبوط، ربط التتبع، ومراجعة الموافقات. لا يمكن وضع المشروع في حالة نشطة قبل إكمال هذه الخطوات، ويتم تسجيل حال...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة MandatoryWorkflowScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Operations,TeamsScreen,US-TeamsScreen-01,المدير / المشرف / HR,كـالمدير / المشرف / HR أريد استخدام شاشة TeamsScreen ضمن قسم Operations لتحقيق الغرض التالي: شاشة تعرض بنية الفرق داخل الجمعية، وأعضاء كل فريق، وعدد المهام المفتوحة والمنجزة لهم، والمؤشرات الأساسية لأداء كل فريق. تساعد الإدارة على فهم توزيع الأحمال والقدرة الفعلية لكل فريق. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المدير / المشرف / HR), I want to use the TeamsScreen in the Operations module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة تعرض بنية الفرق داخل الجمعية، وأعضاء كل فريق، وعدد المهام المفتوحة والمنجزة لهم، والمؤشرات الأساسية لأداء كل فريق. تساعد الإدارة على فهم توزيع الأحمال والقدرة الفعلية لكل فريق.,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة TeamsScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
HR,UserManagementScreen,US-UserManagementScreen-01,المدير / HR,كـالمدير / HR أريد استخدام شاشة UserManagementScreen ضمن قسم HR لتحقيق الغرض التالي: شاشة لإدارة حسابات المستخدمين بشكل كامل: إنشاء مستخدم جديد، تعديل بياناته الأساسية، تعيين دوره وفريقه، تفعيل أو تعطيل الحساب، وربط كل عملية بسجل تدقيق. جميع العمليات تنعكس مباشرة في جدول المستخدمين. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المدير / HR), I want to use the UserManagementScreen in the HR module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة لإدارة حسابات المستخدمين بشكل كامل: إنشاء مستخدم جديد، تعديل بياناته الأساسية، تعيين دوره وفريقه، تفعيل أو تعطيل الحساب، وربط كل عملية بسجل تدقيق. جميع العمليات تنعكس مباشرة في جدول المستخدمين.,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة UserManagementScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
HR,AdminPermissionsScreen,US-AdminPermissionsScreen-01,المدير / مسؤول الأمن,كـالمدير / مسؤول الأمن أريد استخدام شاشة AdminPermissionsScreen ضمن قسم HR لتحقيق الغرض التالي: واجهة لإدارة الأدوار والصلاحيات على مستوى النظام، تتيح تحديد ما يمكن لكل دور رؤيته أو تعديله، وتعديل الصلاحيات عند الحاجة، مع تسجيل التغييرات في سجلات الأمان. الهدف حماية البيانات عبر ضبط دقيق للصلاحيات. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المدير / مسؤول الأمن), I want to use the AdminPermissionsScreen in the HR module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",واجهة لإدارة الأدوار والصلاحيات على مستوى النظام، تتيح تحديد ما يمكن لكل دور رؤيته أو تعديله، وتعديل الصلاحيات عند الحاجة، مع تسجيل التغييرات في سجلات الأمان. الهدف حماية البيانات عبر ضبط دقيق للصل...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة AdminPermissionsScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
HR,ProfileScreen,US-ProfileScreen-01,جميع المستخدمين,كـجميع المستخدمين أريد استخدام شاشة ProfileScreen ضمن قسم HR لتحقيق الغرض التالي: شاشة الملف الشخصي لكل مستخدم تتيح له مراجعة بياناته الشخصية والوظيفية وتحديث بعض الحقول المسموح بها (مثل رقم الجوال، الصورة الشخصية، كلمة المرور)، مع حفظ كل تغيير في قاعدة البيانات وسجل التدقيق. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (جميع المستخدمين), I want to use the ProfileScreen in the HR module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة الملف الشخصي لكل مستخدم تتيح له مراجعة بياناته الشخصية والوظيفية وتحديث بعض الحقول المسموح بها (مثل رقم الجوال، الصورة الشخصية، كلمة المرور)، مع حفظ كل تغيير في قاعدة البيانات وسجل التدقيق.,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة ProfileScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
HR,EmployeeIdpScreen,US-EmployeeIdpScreen-01,المدير / HR / الموظف,كـالمدير / HR / الموظف أريد استخدام شاشة EmployeeIdpScreen ضمن قسم HR لتحقيق الغرض التالي: شاشة خطة التطوير الفردية لكل موظف (IDP) تعرض نقاط القوة والضعف، الأهداف القصيرة والمتوسطة (30/90 يوم)، والأنشطة التدريبية المقترحة، مع إمكانية تتبع التقدم وربط الخطة بمسارات تدريبية حقيقية. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المدير / HR / الموظف), I want to use the EmployeeIdpScreen in the HR module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة خطة التطوير الفردية لكل موظف (IDP) تعرض نقاط القوة والضعف، الأهداف القصيرة والمتوسطة (30/90 يوم)، والأنشطة التدريبية المقترحة، مع إمكانية تتبع التقدم وربط الخطة بمسارات تدريبية حقيقية.,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة EmployeeIdpScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
HR,EmployeeBehaviorScreen,US-EmployeeBehaviorScreen-01,المدير / HR / المشرف,كـالمدير / HR / المشرف أريد استخدام شاشة EmployeeBehaviorScreen ضمن قسم HR لتحقيق الغرض التالي: شاشة تحليل سلوك الموظف داخل النظام، تجمع بيانات استخدامه مثل ساعات الدخول، التنقل بين الصفحات، عدد المهام المكتملة، وتعرض مؤشرات واضحة عن نمط عمله (التزام، تشتت، نشاط) بناءً على سجلات حقيقية للقياسات الدقيقة. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المدير / HR / المشرف), I want to use the EmployeeBehaviorScreen in the HR module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة تحليل سلوك الموظف داخل النظام، تجمع بيانات استخدامه مثل ساعات الدخول، التنقل بين الصفحات، عدد المهام المكتملة، وتعرض مؤشرات واضحة عن نمط عمله (التزام، تشتت، نشاط) بناءً على سجلات حقيقية للقياس...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة EmployeeBehaviorScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
