Section,ScreenName,StoryID,RoleAr,UserStoryAr,UserStoryEn,FeatureSummaryAr,MainDbEntities,MainButtonsOrActionsAr,AcceptanceCriteriaAr
HR,BurnoutLabScreen,US-BurnoutLabScreen-01,HR / المدير,كـHR / المدير أريد استخدام شاشة BurnoutLabScreen ضمن قسم HR لتحقيق الغرض التالي: شاشة تحليل الاحتراق الوظيفي تستخدم بيانات السلوك والمهام وساعات العمل لبناء مؤشر Burnout لكل موظف، وتعرض مستويات الخطر (منخفض، متوسط، عالٍ) مع توصيات عملية للتدخل. تعتمد على حسابات فعلية مخزنة في جداول متخصصة. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (HR / المدير), I want to use the BurnoutLabScreen in the HR module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة تحليل الاحتراق الوظيفي تستخدم بيانات السلوك والمهام وساعات العمل لبناء مؤشر Burnout لكل موظف، وتعرض مستويات الخطر (منخفض، متوسط، عالٍ) مع توصيات عملية للتدخل. تعتمد على حسابات فعلية مخزنة في ج...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة BurnoutLabScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
CRM,DonorsScreen,US-DonorsScreen-01,موظف التواصل / المدير,كـموظف التواصل / المدير أريد استخدام شاشة DonorsScreen ضمن قسم CRM لتحقيق الغرض التالي: شاشة لإدارة المتبرعين تعرض قائمة المتبرعين مع معلوماتهم الأساسية، إجمالي التبرعات لكل متبرع، تصنيفهم إلى شرائح مالية، وإمكانية البحث والتصفية حسب الاسم أو الجوال أو حجم التبرع. الهدف بناء صورة واضحة عن قاعدة المتبرعين الفعلية. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (موظف التواصل / المدير), I want to use the DonorsScreen in the CRM module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة لإدارة المتبرعين تعرض قائمة المتبرعين مع معلوماتهم الأساسية، إجمالي التبرعات لكل متبرع، تصنيفهم إلى شرائح مالية، وإمكانية البحث والتصفية حسب الاسم أو الجوال أو حجم التبرع. الهدف بناء صورة واضح...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة DonorsScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
CRM,DonorProfileScreen,US-DonorProfileScreen-01,موظف التواصل,كـموظف التواصل أريد استخدام شاشة DonorProfileScreen ضمن قسم CRM لتحقيق الغرض التالي: ملف متكامل لكل متبرع يعرض بياناته الشخصية، سجل تبرعاته بالكامل، سلوك التبرع عبر الزمن، الملاحظات المضافة من الموظفين، الاعتراضات السابقة، والتوصيات المناسبة للتواصل معه. يعتمد على قراءة مباشرة لسجلات التبرعات والملاحظات من قاعدة البيانات. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (موظف التواصل), I want to use the DonorProfileScreen in the CRM module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",ملف متكامل لكل متبرع يعرض بياناته الشخصية، سجل تبرعاته بالكامل، سلوك التبرع عبر الزمن، الملاحظات المضافة من الموظفين، الاعتراضات السابقة، والتوصيات المناسبة للتواصل معه. يعتمد على قراءة مباشرة لسجل...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة DonorProfileScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
CRM,InfluencersScreen,US-InfluencersScreen-01,فريق المؤثرين / المدير,كـفريق المؤثرين / المدير أريد استخدام شاشة InfluencersScreen ضمن قسم CRM لتحقيق الغرض التالي: شاشة لإدارة المؤثرين/المشاهير تعرض قائمة المؤثرين مع منصاتهم وعدد متابعيهم ومجال تأثيرهم، وتدعم البحث والتصفية. الهدف تمكين فريق المؤثرين من اختيار الشركاء الأنسب للحملات بناءً على بيانات حقيقية. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (فريق المؤثرين / المدير), I want to use the InfluencersScreen in the CRM module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة لإدارة المؤثرين/المشاهير تعرض قائمة المؤثرين مع منصاتهم وعدد متابعيهم ومجال تأثيرهم، وتدعم البحث والتصفية. الهدف تمكين فريق المؤثرين من اختيار الشركاء الأنسب للحملات بناءً على بيانات حقيقية.,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة InfluencersScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
CRM,InfluencerProfileScreen,US-InfluencerProfileScreen-01,فريق المؤثرين / المحاسب / المدير,كـفريق المؤثرين / المحاسب / المدير أريد استخدام شاشة InfluencerProfileScreen ضمن قسم CRM لتحقيق الغرض التالي: ملف شامل للمؤثر يحتوي على بياناته، حملاته الماضية والحالية، الإيرادات الناتجة عن كل حملة، نسب التحويل، والعمولات المستحقة. يستخدم بيانات فعلية من جداول الحملات والتبرعات المرتبطة برابط المؤثر لعرض أداء واقعي وتنبؤات مستقبلية. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (فريق المؤثرين / المحاسب / المدير), I want to use the InfluencerProfileScreen in the CRM module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",ملف شامل للمؤثر يحتوي على بياناته، حملاته الماضية والحالية، الإيرادات الناتجة عن كل حملة، نسب التحويل، والعمولات المستحقة. يستخدم بيانات فعلية من جداول الحملات والتبرعات المرتبطة برابط المؤثر لعرض ...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة InfluencerProfileScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Marketing,CampaignsScreen,US-CampaignsScreen-01,مدير التسويق / الفريق,كـمدير التسويق / الفريق أريد استخدام شاشة CampaignsScreen ضمن قسم Marketing لتحقيق الغرض التالي: شاشة إدارة الحملات التسويقية تتيح إنشاء حملة وتحديد المنصة (سناب، واتساب، إلخ)، ربطها بمشروع ومؤثر، إدخال أو استيراد مصروفات الحملة، وربط التبرعات المتولدة منها. تعرض في النهاية أداء كل حملة (مصروف، إيراد، ROAS) من بيانات حقيقية. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (مدير التسويق / الفريق), I want to use the CampaignsScreen in the Marketing module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة إدارة الحملات التسويقية تتيح إنشاء حملة وتحديد المنصة (سناب، واتساب، إلخ)، ربطها بمشروع ومؤثر، إدخال أو استيراد مصروفات الحملة، وربط التبرعات المتولدة منها. تعرض في النهاية أداء كل حملة (مصروف...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة CampaignsScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Marketing,ChannelsPerformanceScreen,US-ChannelsPerformanceScreen-01,مدير التسويق / المدير,كـمدير التسويق / المدير أريد استخدام شاشة ChannelsPerformanceScreen ضمن قسم Marketing لتحقيق الغرض التالي: شاشة لمقارنة أداء قنوات التسويق المختلفة (سناب، واتساب، إنستغرام وغيرها) من حيث التبرعات المتولدة والتكلفة والعائد على الإنفاق الإعلاني ROAS ونسب التحويل. تساعد مدير التسويق على إعادة توزيع الميزانيات بناءً على أداء فعلي. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (مدير التسويق / المدير), I want to use the ChannelsPerformanceScreen in the Marketing module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة لمقارنة أداء قنوات التسويق المختلفة (سناب، واتساب، إنستغرام وغيرها) من حيث التبرعات المتولدة والتكلفة والعائد على الإنفاق الإعلاني ROAS ونسب التحويل. تساعد مدير التسويق على إعادة توزيع الميزان...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة ChannelsPerformanceScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Marketing,DonorFunnelScreen,US-DonorFunnelScreen-01,مدير التسويق / المدير,كـمدير التسويق / المدير أريد استخدام شاشة DonorFunnelScreen ضمن قسم Marketing لتحقيق الغرض التالي: شاشة تحليل رحلة المتبرع (Funnel) من لحظة مشاهدة الإعلان، مرورًا بزيارة صفحة الهبوط وإضافة التبرع إلى السلة، حتى إتمام عملية التبرع. تعرض نسب التحويل والتسرب في كل مرحلة اعتمادًا على بيانات حقيقية من سجلات الزيارات والتبرعات. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (مدير التسويق / المدير), I want to use the DonorFunnelScreen in the Marketing module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة تحليل رحلة المتبرع (Funnel) من لحظة مشاهدة الإعلان، مرورًا بزيارة صفحة الهبوط وإضافة التبرع إلى السلة، حتى إتمام عملية التبرع. تعرض نسب التحويل والتسرب في كل مرحلة اعتمادًا على بيانات حقيقية م...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة DonorFunnelScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Finance,AccountingScreen,US-AccountingScreen-01,المحاسب / المدير,كـالمحاسب / المدير أريد استخدام شاشة AccountingScreen ضمن قسم Finance لتحقيق الغرض التالي: نظام محاسبي داخل المنصة يتيح تسجيل جميع الحركات المالية (إيرادات ومصروفات)، ربطها بالمشاريع والحملات، وإخراج تقارير الربح والخسارة والتدفقات المالية. يعتمد بالكامل على جداول المعاملات المالية ويرتبط بتقارير المدير. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المحاسب / المدير), I want to use the AccountingScreen in the Finance module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",نظام محاسبي داخل المنصة يتيح تسجيل جميع الحركات المالية (إيرادات ومصروفات)، ربطها بالمشاريع والحملات، وإخراج تقارير الربح والخسارة والتدفقات المالية. يعتمد بالكامل على جداول المعاملات المالية ويرتب...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة AccountingScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Finance,TargetsRoiScreen,US-TargetsRoiScreen-01,المدير / مدير التسويق,كـالمدير / مدير التسويق أريد استخدام شاشة TargetsRoiScreen ضمن قسم Finance لتحقيق الغرض التالي: شاشة لإدارة الأهداف المالية ومتابعة تحقيقها، تعرض الأهداف المحددة لكل مشروع أو قناة بجانب النتائج الفعلية، وتحسب ROI والانحراف عن الهدف، وتظهر المشاريع والقنوات المتفوقة أو المتأخرة في الأداء. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المدير / مدير التسويق), I want to use the TargetsRoiScreen in the Finance module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة لإدارة الأهداف المالية ومتابعة تحقيقها، تعرض الأهداف المحددة لكل مشروع أو قناة بجانب النتائج الفعلية، وتحسب ROI والانحراف عن الهدف، وتظهر المشاريع والقنوات المتفوقة أو المتأخرة في الأداء.,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة TargetsRoiScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Analytics & AI,AnalyticsScreen,US-AnalyticsScreen-01,المدير / مدير التسويق / المحاسب,كـالمدير / مدير التسويق / المحاسب أريد استخدام شاشة AnalyticsScreen ضمن قسم Analytics & AI لتحقيق الغرض التالي: مركز التقارير والتحليلات المتقدمة الذي يتيح للمدير وفريق التسويق استخراج تقارير مفصلة عن التبرعات والأداء حسب المشاريع والفترات والقنوات والموظفين، مع إمكانية تصدير النتائج وتحليل الاتجاهات بالتفصيل. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المدير / مدير التسويق / المحاسب), I want to use the AnalyticsScreen in the Analytics & AI module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",مركز التقارير والتحليلات المتقدمة الذي يتيح للمدير وفريق التسويق استخراج تقارير مفصلة عن التبرعات والأداء حسب المشاريع والفترات والقنوات والموظفين، مع إمكانية تصدير النتائج وتحليل الاتجاهات بالتفصيل.,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة AnalyticsScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Analytics & AI,MicroMeasurementScreen,US-MicroMeasurementScreen-01,الفريق التقني / HR,كـالفريق التقني / HR أريد استخدام شاشة MicroMeasurementScreen ضمن قسم Analytics & AI لتحقيق الغرض التالي: شاشة خاصة بالقياسات الدقيقة لتفاعل المستخدمين مع النظام، تعرض بيانات مثل وقت الجلسة على كل شاشة، عدد النقرات، سلوك التمرير، وسرعة تنفيذ الأوامر، اعتمادًا على سجلات MicroMeasurements المخزنة في قاعدة البيانات. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (الفريق التقني / HR), I want to use the MicroMeasurementScreen in the Analytics & AI module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة خاصة بالقياسات الدقيقة لتفاعل المستخدمين مع النظام، تعرض بيانات مثل وقت الجلسة على كل شاشة، عدد النقرات، سلوك التمرير، وسرعة تنفيذ الأوامر، اعتمادًا على سجلات MicroMeasurements المخزنة في قاعد...,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة MicroMeasurementScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
Analytics & AI,BehaviorAnalyticsScreen,US-BehaviorAnalyticsScreen-01,المدير / HR / المشرف,كـالمدير / HR / المشرف أريد استخدام شاشة BehaviorAnalyticsScreen ضمن قسم Analytics & AI لتحقيق الغرض التالي: شاشة لتحليل السلوك التفاعلي للمستخدمين (موظفين ومديرين)، تترجم بيانات الاستخدام إلى مؤشرات مثل التشتت، الارتباك، الضغط أو التركيز، وتعرضها في شكل رسوم ومؤشرات قابلة للمقارنة بين الفترات والأشخاص. حتى أتمكن من أداء دوري بكفاءة والاعتماد على بيانات حقيقية من قاعدة البيانات.,"As a user (المدير / HR / المشرف), I want to use the BehaviorAnalyticsScreen in the Analytics & AI module to achieve its defined purpose so that I can perform my responsibilities efficiently based on real database data.",شاشة لتحليل السلوك التفاعلي للمستخدمين (موظفين ومديرين)، تترجم بيانات الاستخدام إلى مؤشرات مثل التشتت، الارتباك، الضغط أو التركيز، وتعرضها في شكل رسوم ومؤشرات قابلة للمقارنة بين الفترات والأشخاص.,"تُحدد الجداول المرتبطة بهذه الشاشة في تصميم قاعدة البيانات (مثل Donations, Projects, Users, Tasks حسب طبيعة الشاشة).",جميع الأزرار والفلاتر وروابط التنقل في شاشة BehaviorAnalyticsScreen تعمل كما هو موصوف (عرض، بحث، تصفية، حفظ، تعديل، حذف، تصدير، تغيير الفترة الزمنية).,Given أن المستخدم يملك صلاحية الوصول لهذه الشاشة ووجود بيانات فعلية، When يفتح الشاشة ويستخدم عناصرها (عرض، بحث، تصفية، حفظ، تعديل، حذف)، Then يجب جلب البيانات من قاعدة البيانات فقط بدون قيم ثابتة، وتنفيذ عمليات الحفظ والتعديل والحذف على الجداول المرتبطة بنجاح، مع إظهار رسائل نجاح/فشل واضحة، وتسجيل أي خطأ تقني في نظام إدارة الأخطاء برقم مرجعي، واحترام صلاحيات الدور، والحفاظ على حالة الفلاتر والتمرير (scroll) عند الرجوع للشاشة لتحسين تجربة الاستخدام.
